Wed Apr  9 21:50:42 2025    profile_output

         477557 function calls (430108 primitive calls) in 2.903 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.034    0.034 _base.py:569(__init__)
       40    0.001    0.000    0.031    0.001 ImageFile.py:175(load)
     3466    0.009    0.000    0.031    0.000 module.py:1932(__setattr__)
        2    0.001    0.001    0.030    0.015 profiler_util.py:299(key_averages)
       20    0.014    0.001    0.029    0.001 selectors.py:451(select)
       57    0.000    0.000    0.028    0.000 conv.py:178(reset_parameters)
       20    0.014    0.001    0.027    0.001 general.py:1010(non_max_suppression)
       57    0.001    0.000    0.026    0.000 init.py:456(kaiming_uniform_)
       25    0.026    0.001    0.026    0.001 {method 'decode' of 'ImagingDecoder' objects}
        1    0.000    0.000    0.025    0.025 backend_bases.py:1878(draw_idle)
      114    0.025    0.000    0.025    0.000 {method 'uniform_' of 'torch._C.TensorBase' objects}
       84    0.000    0.000    0.023    0.000 common.py:452(forward)
       18    0.001    0.000    0.023    0.001 axis.py:1270(_update_ticks)
     1796    0.003    0.000    0.022    0.000 profiler_util.py:674(add)
        2    0.000    0.000    0.021    0.011 _base.py:2943(_update_title_position)
        2    0.000    0.000    0.020    0.010 axis.py:1320(get_tightbbox)
      196    0.019    0.000    0.019    0.000 {method 'clone' of 'torch._C.TensorBase' objects}
      194    0.000    0.000    0.019    0.000 artist.py:147(<lambda>)
       45    0.008    0.000    0.018    0.000 yolo.py:118(_make_grid)
      264    0.018    0.000    0.018    0.000 {method 'encode' of 'ImagingEncoder' objects}
       63    0.018    0.000    0.018    0.000 {method 'contiguous' of 'torch._C.TensorBase' objects}
       63    0.017    0.000    0.017    0.000 {method 'sigmoid' of 'torch._C.TensorBase' objects}
        1    0.000    0.000    0.017    0.017 _base.py:1381(clear)
        1    0.000    0.000    0.017    0.017 _base.py:1254(__clear)
      338    0.017    0.000    0.017    0.000 {method 'float' of 'torch._C.TensorBase' objects}
38318/31535    0.010    0.000    0.017    0.000 {built-in method builtins.isinstance}
   597/59    0.004    0.000    0.017    0.000 module.py:900(_apply)
       42    0.000    0.000    0.016    0.000 upsampling.py:171(forward)
       42    0.001    0.000    0.015    0.000 functional.py:4453(interpolate)
        1    0.000    0.000    0.015    0.015 image.py:1531(imsave)
        1    0.000    0.000    0.015    0.015 Image.py:2376(save)
        1    0.000    0.000    0.015    0.015 _base.py:810(_init_axis)
        1    0.000    0.000    0.015    0.015 PngImagePlugin.py:1233(_save)
        1    0.000    0.000    0.015    0.015 ImageFile.py:517(_save)
        1    0.000    0.000    0.015    0.015 ImageFile.py:545(_encode_tile)
        2    0.000    0.000    0.014    0.007 yolo.py:204(_apply)
        1    0.000    0.000    0.014    0.014 axis.py:2294(__init__)
       13    0.000    0.000    0.014    0.001 axis.py:1555(_get_tick)
        2    0.000    0.000    0.014    0.007 axis.py:2298(_init)
      358    0.011    0.000    0.014    0.000 serialization.py:1878(load_tensor)
       74    0.001    0.000    0.014    0.000 text.py:915(get_window_extent)
       42    0.014    0.000    0.014    0.000 {built-in method torch._C._nn.upsample_nearest2d}
       20    0.000    0.000    0.013    0.001 axis.py:287(draw)
       92    0.002    0.000    0.013    0.000 text.py:358(_get_layout)
       15    0.000    0.000    0.013    0.001 zmqstream.py:648(_handle_recv)
       54    0.001    0.000    0.013    0.000 text.py:734(draw)
        4    0.000    0.000    0.013    0.003 axis.py:2599(_update_label_position)
       15    0.000    0.000    0.013    0.001 zmqstream.py:580(_run_callback)
       12    0.000    0.000    0.012    0.001 axis.py:1311(_get_ticklabel_bboxes)
       15    0.000    0.000    0.012    0.001 iostream.py:157(_handle_event)
        4    0.000    0.000    0.011    0.003 iostream.py:276(<lambda>)
    852/4    0.002    0.000    0.011    0.003 module.py:2824(train)
       18    0.000    0.000    0.011    0.001 axis.py:1606(get_major_ticks)
     9061    0.011    0.000    0.011    0.000 module.py:1915(__getattr__)
      483    0.002    0.000    0.011    0.000 module.py:1885(__setstate__)
       13    0.000    0.000    0.011    0.001 axis.py:65(__init__)
        4    0.000    0.000    0.011    0.003 iostream.py:278(_really_send)
       73    0.005    0.000    0.011    0.000 basic_hooks.py:11(count_parameters)
        4    0.000    0.000    0.011    0.003 socket.py:698(send_multipart)
        1    0.000    0.000    0.011    0.011 module.py:1137(float)
      387    0.003    0.000    0.010    0.000 {built-in method numpy.array}
        6    0.000    0.000    0.010    0.002 axis.py:2143(_get_tick_boxes_siblings)
       60    0.002    0.000    0.010    0.000 basic_hooks.py:22(count_convNd)
      120    0.001    0.000    0.010    0.000 parameter.py:63(__deepcopy__)
     3576    0.004    0.000    0.010    0.000 {method '__reduce_ex__' of 'object' objects}
    42261    0.009    0.000    0.009    0.000 {method 'get' of 'dict' objects}
       20    0.009    0.000    0.009    0.000 {built-in method numpy.ascontiguousarray}
     1796    0.003    0.000    0.009    0.000 profiler_util.py:568(self_cpu_time_total)
     5392    0.002    0.000    0.009    0.000 {built-in method builtins.sum}
        1    0.000    0.000    0.009    0.009 profiler_util.py:39(_build_tree)
        3    0.000    0.000    0.008    0.003 module.py:2846(eval)
       20    0.000    0.000    0.008    0.000 Image.py:3225(open)
        8    0.000    0.000    0.008    0.001 axis.py:469(__init__)
       20    0.000    0.000    0.008    0.000 Image.py:686(__array_interface__)
     4670    0.008    0.000    0.008    0.000 {built-in method torch._C._get_tracing_state}
       20    0.000    0.000    0.007    0.000 Image.py:726(tobytes)
       20    0.000    0.000    0.007    0.000 profiler.py:788(__enter__)
       20    0.000    0.000    0.007    0.000 profiler.py:798(start)
      6/4    0.000    0.000    0.007    0.002 axis.py:575(__get__)
      279    0.001    0.000    0.007    0.000 artist.py:1176(_update_props)
     4940    0.006    0.000    0.007    0.000 profiler_util.py:561(cpu_time_total)
     1796    0.007    0.000    0.007    0.000 profiler_util.py:317(get_key)
      889    0.000    0.000    0.007    0.000 module.py:2608(parameters)
       58    0.000    0.000    0.007    0.000 module.py:1216(to)
        1    0.002    0.002    0.007    0.007 profiler_util.py:68(_populate_cpu_children)
    213/1    0.000    0.000    0.007    0.007 module.py:995(apply)
        8    0.000    0.000    0.006    0.001 axis.py:944(set_tick_params)
        1    0.000    0.000    0.006    0.006 experimental.py:88(attempt_load)
       24    0.000    0.000    0.006    0.000 backend_agg.py:187(draw_text)
      184    0.000    0.000    0.006    0.000 text.py:65(_get_text_metrics_with_cache)
      889    0.001    0.000    0.006    0.000 module.py:2633(named_parameters)
       74    0.000    0.000    0.006    0.000 inspect.py:3339(signature)
      194    0.000    0.000    0.006    0.000 artist.py:1223(set)
        5    0.000    0.000    0.006    0.001 axis.py:1189(_set_lim)
       74    0.000    0.000    0.006    0.000 inspect.py:3077(from_callable)
      356    0.000    0.000    0.006    0.000 module.py:1146(<lambda>)
        5    0.000    0.000    0.006    0.001 axis.py:412(__init__)
  829/693    0.000    0.000    0.006    0.000 deprecation.py:289(wrapper)
    20/14    0.000    0.000    0.006    0.000 events.py:86(_run)
   148/74    0.001    0.000    0.006    0.000 inspect.py:2497(_signature_from_callable)
      244    0.000    0.000    0.006    0.000 artist.py:1212(_internal_update)
      6/5    0.000    0.000    0.006    0.001 _base.py:2516(_process_unit_info)
        6    0.000    0.000    0.006    0.001 axis.py:1700(update_units)
        2    0.000    0.000    0.006    0.003 _base.py:3157(grid)
        4    0.000    0.000    0.006    0.001 axis.py:1658(grid)
      889    0.002    0.000    0.006    0.000 module.py:2588(_named_members)
      213    0.001    0.000    0.006    0.000 profile.py:173(add_hooks)
       20    0.001    0.000    0.005    0.000 augmentations.py:122(letterbox)
7488/1638    0.004    0.000    0.005    0.000 module.py:2775(named_modules)
       20    0.001    0.000    0.005    0.000 {method 'poll' of 'select.epoll' objects}
     3024    0.004    0.000    0.005    0.000 copyreg.py:107(_slotnames)
     11/6    0.005    0.000    0.005    0.001 units.py:164(get_converter)
       20    0.005    0.000    0.005    0.000 {method 'max' of 'torch._C.TensorBase' objects}
       24    0.000    0.000    0.005    0.000 ticker.py:2138(__call__)
        1    0.000    0.000    0.005    0.005 __init__.py:1462(inner)
     3260    0.001    0.000    0.005    0.000 module.py:2719(children)
        1    0.000    0.000    0.005    0.005 _axes.py:2266(bar)
    11603    0.003    0.000    0.005    0.000 {built-in method builtins.getattr}
       39    0.001    0.000    0.005    0.000 lines.py:287(__init__)
       38    0.005    0.000    0.005    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
        6    0.000    0.000    0.005    0.001 spines.py:142(get_window_extent)
       24    0.000    0.000    0.005    0.000 ticker.py:2142(tick_values)
       20    0.000    0.000    0.004    0.000 profiler.py:178(prepare_trace)
     3352    0.003    0.000    0.004    0.000 parameter.py:10(__instancecheck__)
       20    0.000    0.000    0.004    0.000 patches.py:579(draw)
       86    0.000    0.000    0.004    0.000 markers.py:225(__init__)
       20    0.000    0.000    0.004    0.000 Image.py:3292(_open_core)
       24    0.001    0.000    0.004    0.000 ticker.py:2077(_raw_ticks)
       18    0.000    0.000    0.004    0.000 axis.py:1497(get_minorticklocs)
       73    0.003    0.000    0.004    0.000 calc_func.py:18(calculate_parameters)
      358    0.001    0.000    0.004    0.000 _utils.py:204(_rebuild_tensor_v2)
       86    0.000    0.000    0.004    0.000 markers.py:306(_set_marker)
       60    0.001    0.000    0.004    0.000 lines.py:738(draw)
     3622    0.003    0.000    0.004    0.000 module.py:2728(named_children)
       33    0.000    0.000    0.004    0.000 text.py:104(__init__)
      304    0.004    0.000    0.004    0.000 {method 'view' of 'torch._C.TensorBase' objects}
        7    0.000    0.000    0.004    0.001 axis.py:1576(_copy_tick_props)
       20    0.000    0.000    0.004    0.000 profiler.py:347(_prepare_trace)
  847/747    0.001    0.000    0.004    0.000 {built-in method builtins.next}
       74    0.001    0.000    0.004    0.000 inspect.py:2393(_signature_from_function)
     4337    0.002    0.000    0.004    0.000 copy.py:231(_keep_alive)
     3368    0.002    0.000    0.004    0.000 parameter.py:216(__instancecheck__)
       20    0.000    0.000    0.004    0.000 JpegImagePlugin.py:839(jpeg_factory)
      4/2    0.000    0.000    0.003    0.002 threading.py:637(wait)
       21    0.000    0.000    0.003    0.000 lines.py:1336(update_from)
      358    0.002    0.000    0.003    0.000 _utils.py:183(_rebuild_tensor)
     1796    0.002    0.000    0.003    0.000 profiler_util.py:537(self_cpu_memory_usage)
       63    0.001    0.000    0.003    0.000 _tensor.py:1013(split)
       45    0.000    0.000    0.003    0.000 functional.py:430(meshgrid)
       20    0.001    0.000    0.003    0.000 1195146626.py:86(postprocess_results)
     1796    0.002    0.000    0.003    0.000 profiler_util.py:545(self_device_memory_usage)
     1800    0.001    0.000    0.003    0.000 profiler_util.py:791(_rewrite_name)
       20    0.000    0.000    0.003    0.000 ImageFile.py:108(__init__)
        2    0.000    0.000    0.003    0.002 axis.py:1108(set_clip_path)
       57    0.003    0.000    0.003    0.000 {built-in method torch.diag}
       45    0.001    0.000    0.003    0.000 functional.py:527(_meshgrid)
      563    0.003    0.000    0.003    0.000 {built-in method torch.zeros}
       20    0.000    0.000    0.003    0.000 ImageFile.py:314(load_prepare)
      642    0.000    0.000    0.003    0.000 module.py:2748(modules)
       20    0.003    0.000    0.003    0.000 {built-in method PIL._imaging.new}
        4    0.000    0.000    0.003    0.001 _base.py:2376(add_patch)
       45    0.003    0.000    0.003    0.000 {built-in method torch.stack}
    23766    0.003    0.000    0.003    0.000 {built-in method builtins.id}
        2    0.000    0.000    0.003    0.001 axis.py:2358(_update_label_position)
       20    0.001    0.000    0.003    0.000 JpegImagePlugin.py:360(_open)
      795    0.001    0.000    0.003    0.000 copy.py:61(copy)
      114    0.003    0.000    0.003    0.000 {method 'copy_' of 'torch._C.TensorBase' objects}
     3144    0.001    0.000    0.003    0.000 profiler_util.py:572(<genexpr>)
    10653    0.003    0.000    0.003    0.000 {method 'append' of 'list' objects}
       18    0.000    0.000    0.003    0.000 axis.py:1493(get_majorticklocs)
      358    0.001    0.000    0.003    0.000 _guards.py:957(detect_fake_mode)
       20    0.000    0.000    0.003    0.000 patches.py:530(_draw_paths_with_artist_properties)
       21    0.003    0.000    0.003    0.000 {method 'copy' of 'ImagingCore' objects}
     5263    0.002    0.000    0.003    0.000 {built-in method builtins.hasattr}
       20    0.000    0.000    0.003    0.000 Image.py:1206(copy)
       20    0.003    0.000    0.003    0.000 {copyMakeBorder}
       24    0.000    0.000    0.003    0.000 axis.py:2757(get_tick_space)
      499    0.001    0.000    0.003    0.000 module.py:522(register_buffer)
       19    0.002    0.000    0.003    0.000 general.py:883(xywh2xyxy)
        4    0.000    0.000    0.003    0.001 _base.py:2389(_update_patch_limits)
      120    0.000    0.000    0.003    0.000 conv.py:208(__setstate__)
      275    0.000    0.000    0.002    0.000 font_manager.py:899(copy)
      124    0.000    0.000    0.002    0.000 transforms.py:1472(transform)
       20    0.002    0.000    0.002    0.000 {built-in method torch._C._autograd._prepare_profiler}
       48    0.000    0.000    0.002    0.000 patches.py:259(get_transform)
       20    0.000    0.000    0.002    0.000 profiler.py:195(start_trace)
       37    0.000    0.000    0.002    0.000 text.py:157(_reset_visual_defaults)
        1    0.000    0.000    0.002    0.002 subprocess.py:1165(communicate)
       14    0.000    0.000    0.002    0.000 text.py:73(_get_text_metrics_with_cache_impl)
       14    0.000    0.000    0.002    0.000 backend_agg.py:208(get_text_width_height_descent)
       90    0.002    0.000    0.002    0.000 {built-in method torch.arange}
     2363    0.001    0.000    0.002    0.000 __init__.py:741(__getitem__)
       25    0.002    0.000    0.002    0.000 {method 'join' of 'bytes' objects}
       19    0.000    0.000    0.002    0.000 boxes.py:13(nms)
      473    0.002    0.000    0.002    0.000 {built-in method torch.empty}
  404/379    0.000    0.000    0.002    0.000 contextlib.py:132(__enter__)
     18/6    0.000    0.000    0.002    0.000 base_events.py:1909(_run_once)
       45    0.002    0.000    0.002    0.000 {built-in method torch.meshgrid}
       34    0.000    0.000    0.002    0.000 patches.py:746(get_patch_transform)
    150/1    0.001    0.000    0.002    0.002 profile.py:214(dfs_count)
      644    0.001    0.000    0.002    0.000 font_manager.py:638(__hash__)
       63    0.000    0.000    0.002    0.000 _tensor.py:33(wrapped)
      135    0.000    0.000    0.002    0.000 _tensor.py:1144(__iter__)
       63    0.002    0.000    0.002    0.000 {built-in method torch.split_with_sizes}
       38    0.000    0.000    0.002    0.000 backend_agg.py:250(_prepare_font)
  404/379    0.000    0.000    0.002    0.000 contextlib.py:141(__exit__)
       20    0.000    0.000    0.002    0.000 backend_agg.py:95(draw_path)
      360    0.001    0.000    0.002    0.000 copy.py:200(_deepcopy_tuple)
       33    0.001    0.000    0.002    0.000 lines.py:666(recache)
      411    0.000    0.000    0.002    0.000 parameter.py:40(__new__)
       20    0.002    0.000    0.002    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
       24    0.002    0.000    0.002    0.000 {built-in method _io.open}
       63    0.002    0.000    0.002    0.000 {method 'pow' of 'torch._C.TensorBase' objects}
       16    0.000    0.000    0.002    0.000 transforms.py:651(union)
     4170    0.002    0.000    0.002    0.000 {method 'add' of 'set' objects}
       20    0.001    0.000    0.002    0.000 profiler.py:667(__init__)
  113/104    0.000    0.000    0.002    0.000 _base.py:833(_unstale_viewLim)
        6    0.000    0.000    0.002    0.000 asyncio.py:200(_handle_events)
      135    0.000    0.000    0.002    0.000 transforms.py:813(from_extents)
       50    0.000    0.000    0.002    0.000 artist.py:1229(_cm_set)
       30    0.000    0.000    0.002    0.000 ticker.py:213(format_ticks)
     1800    0.001    0.000    0.002    0.000 profiler_util.py:726(__missing__)
      124    0.000    0.000    0.002    0.000 transforms.py:2406(transform_affine)
      531    0.000    0.000    0.002    0.000 artist.py:416(pchanged)
     1026    0.002    0.000    0.002    0.000 {method 'reduce' of 'numpy.ufunc' objects}
       19    0.000    0.000    0.002    0.000 _ops.py:1112(__call__)
       63    0.002    0.000    0.002    0.000 {method 'permute' of 'torch._C.TensorBase' objects}
      676    0.001    0.000    0.002    0.000 profiler_util.py:512(append_cpu_child)
       18    0.000    0.000    0.002    0.000 artist.py:772(set_clip_path)
1880/1460    0.000    0.000    0.002    0.000 {built-in method builtins.hash}
      230    0.001    0.000    0.002    0.000 cbook.py:1743(normalize_kwargs)
  174/136    0.001    0.000    0.002    0.000 transforms.py:2431(get_affine)
     1226    0.001    0.000    0.002    0.000 grad_mode.py:184(__init__)
       19    0.002    0.000    0.002    0.000 {built-in method torch._ops.torchvision.nms}
      900    0.001    0.000    0.002    0.000 profiler_util.py:446(__init__)
        3    0.002    0.001    0.002    0.001 {resize}
      978    0.000    0.000    0.002    0.000 copy.py:252(<genexpr>)
      613    0.001    0.000    0.002    0.000 grad_mode.py:80(__enter__)
      540    0.001    0.000    0.002    0.000 cbook.py:285(process)
      210    0.000    0.000    0.002    0.000 font_manager.py:649(__eq__)
       22    0.001    0.000    0.002    0.000 {method 'sort' of 'list' objects}
      716    0.001    0.000    0.002    0.000 cbook.py:2011(_setattr_cm)
      368    0.001    0.000    0.002    0.000 _tensor.py:285(_typed_storage)
     1489    0.001    0.000    0.001    0.000 {built-in method torch._C._has_torch_function_unary}
      121    0.000    0.000    0.001    0.000 torch_utils.py:303(<genexpr>)
        2    0.000    0.000    0.001    0.001 axis.py:882(clear)
       35    0.000    0.000    0.001    0.000 text.py:194(update)
      135    0.001    0.000    0.001    0.000 {method 'unbind' of 'torch._C.TensorBase' objects}
      411    0.001    0.000    0.001    0.000 {built-in method _make_subclass}
      613    0.001    0.000    0.001    0.000 grad_mode.py:84(__exit__)
       60    0.000    0.000    0.001    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.001    0.001 serialization.py:1974(_is_torchscript_zip)
     2363    0.001    0.000    0.001    0.000 __init__.py:690(_get)
       38    0.000    0.000    0.001    0.000 font_manager.py:1303(_find_fonts_by_props)
      306    0.001    0.000    0.001    0.000 transforms.py:758(__init__)
      100    0.000    0.000    0.001    0.000 transforms.py:804(from_bounds)
       21    0.000    0.000    0.001    0.000 <frozen posixpath>:423(realpath)
  111/108    0.000    0.000    0.001    0.000 _base.py:847(viewLim)
        1    0.000    0.000    0.001    0.001 profiler_util.py:138(_set_backward_stacktraces)
       11    0.000    0.000    0.001    0.000 basic_hooks.py:18(zero_ops)
6844/6700    0.001    0.000    0.001    0.000 {built-in method builtins.len}
  282/224    0.000    0.000    0.001    0.000 copy.py:191(_deepcopy_list)
       58    0.001    0.000    0.001    0.000 module.py:476(__init__)
        1    0.000    0.000    0.001    0.001 torch_utils.py:304(<genexpr>)
     5259    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
      417    0.001    0.000    0.001    0.000 fromnumeric.py:71(_wrapreduction)
      296    0.001    0.000    0.001    0.000 inspect.py:2739(__init__)
       57    0.000    0.000    0.001    0.000 module.py:2864(requires_grad_)
      676    0.001    0.000    0.001    0.000 profiler_util.py:523(set_cpu_parent)
       20    0.000    0.000    0.001    0.000 profiler.py:354(_start_trace)
      852    0.001    0.000    0.001    0.000 {method 'item' of 'torch._C.TensorBase' objects}
       92    0.000    0.000    0.001    0.000 axis.py:508(update_position)
      209    0.000    0.000    0.001    0.000 fromnumeric.py:53(_wrapfunc)
       96    0.001    0.000    0.001    0.000 ipkernel.py:770(_clean_thread_parent_frames)
        2    0.000    0.000    0.001    0.001 profiler_util.py:168(table)
      767    0.001    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
        2    0.001    0.000    0.001    0.001 profiler_util.py:800(_build_table)
       12    0.000    0.000    0.001    0.000 ticker.py:699(set_locs)
3370/2928    0.001    0.000    0.001    0.000 artist.py:317(stale)
       40    0.000    0.000    0.001    0.000 profiler.py:322(config)
    48/46    0.000    0.000    0.001    0.000 socket.py:621(send)
        7    0.000    0.000    0.001    0.000 iostream.py:616(_flush)
       10    0.000    0.000    0.001    0.000 _tensor.py:110(__deepcopy__)
      370    0.000    0.000    0.001    0.000 transforms.py:1889(__init__)
       99    0.001    0.000    0.001    0.000 artist.py:180(__init__)
       14    0.000    0.000    0.001    0.000 axis.py:347(_apply_params)
       28    0.000    0.000    0.001    0.000 transforms.py:1418(__sub__)
       18    0.000    0.000    0.001    0.000 numeric.py:2249(isclose)
       61    0.000    0.000    0.001    0.000 font_manager.py:595(__init__)
       37    0.000    0.000    0.001    0.000 text.py:1303(set_fontproperties)
     4083    0.001    0.000    0.001    0.000 {method 'items' of 'collections.OrderedDict' objects}
      353    0.000    0.000    0.001    0.000 colors.py:216(_is_nth_color)
       90    0.001    0.000    0.001    0.000 {method 'expand' of 'torch._C.TensorBase' objects}
      327    0.000    0.000    0.001    0.000 transforms.py:1782(transform)
      189    0.001    0.000    0.001    0.000 container.py:240(__iter__)
       20    0.001    0.000    0.001    0.000 {built-in method torch._C._autograd._enable_profiler}
       35    0.000    0.000    0.001    0.000 artist.py:1201(update)
        8    0.000    0.000    0.001    0.000 spines.py:292(draw)
      188    0.000    0.000    0.001    0.000 transforms.py:1340(__add__)
       87    0.000    0.000    0.001    0.000 axis.py:2265(getter)
       35    0.000    0.000    0.001    0.000 transforms.py:2817(nonsingular)
       57    0.000    0.000    0.001    0.000 init.py:142(uniform_)
7152/1796    0.001    0.000    0.001    0.000 profiler_util.py:139(bw_parent)
      144    0.000    0.000    0.001    0.000 module.py:1646(register_forward_hook)
       82    0.000    0.000    0.001    0.000 colors.py:240(_check_color_like)
      470    0.000    0.000    0.001    0.000 module.py:1320(convert)
       40    0.000    0.000    0.001    0.000 font_manager.py:1233(findfont)
       64    0.000    0.000    0.001    0.000 container.py:329(__getitem__)
       21    0.000    0.000    0.001    0.000 <frozen posixpath>:432(_joinrealpath)
       10    0.000    0.000    0.001    0.000 patches.py:48(__init__)
      148    0.001    0.000    0.001    0.000 inspect.py:3025(__init__)
      900    0.001    0.000    0.001    0.000 profiler_util.py:745(in_interval)
      135    0.000    0.000    0.001    0.000 fromnumeric.py:200(reshape)
        6    0.000    0.000    0.001    0.000 axis.py:237(set_clip_path)
       43    0.000    0.000    0.001    0.000 text.py:982(set_color)
       57    0.000    0.000    0.001    0.000 init.py:15(_no_grad_uniform_)
      188    0.000    0.000    0.001    0.000 transforms.py:2498(composite_transform_factory)
       82    0.000    0.000    0.001    0.000 colors.py:221(is_color_like)
     1092    0.001    0.000    0.001    0.000 __init__.py:99(check_in_list)
     6720    0.001    0.000    0.001    0.000 {function _ParameterMeta.__instancecheck__ at 0x7f8549d8b240}
      354    0.000    0.000    0.001    0.000 lines.py:1291(set_ydata)
      358    0.000    0.000    0.001    0.000 _pytree.py:934(tree_leaves)
      758    0.001    0.000    0.001    0.000 transforms.py:1769(__init__)
       34    0.000    0.000    0.001    0.000 patches.py:880(get_bbox)
        1    0.000    0.000    0.001    0.001 pyplot.py:777(figure)
      271    0.000    0.000    0.001    0.000 colors.py:268(to_rgba)
        2    0.000    0.000    0.001    0.000 _base.py:2815(autoscale_view)
      114    0.000    0.000    0.001    0.000 module.py:584(register_parameter)
       19    0.001    0.000    0.001    0.000 {method 'argsort' of 'torch._C.TensorBase' objects}
       40    0.001    0.000    0.001    0.000 JpegImagePlugin.py:253(DQT)
       21    0.000    0.000    0.001    0.000 path.py:279(__deepcopy__)
       74    0.000    0.000    0.001    0.000 inspect.py:2120(_signature_bound_method)
      368    0.001    0.000    0.001    0.000 {method 'set_' of 'torch._C.TensorBase' objects}
      349    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
